观测序号_nobs,Date,Close_Price
76799,2020-01-02,341.91
76800,2020-01-03,347.3
76801,2020-01-06,354.55
76802,2020-01-07,351.35
76803,2020-01-08,356.61
76804,2020-01-09,345.84
76805,2020-01-10,346.79
76806,2020-01-13,345.7
76807,2020-01-14,342.96
76808,2020-01-15,344.97
76809,2020-01-16,345.45
76810,2020-01-17,344.75
76811,2020-01-20,345.2
76812,2020-01-21,348.2
76813,2020-01-22,345.86
76814,2020-01-23,347.88
76815,2020-02-03,356.11
76816,2020-02-04,354.06
76817,2020-02-05,351.7
76818,2020-02-06,349.39
76819,2020-02-07,351.81
76820,2020-02-10,353
76821,2020-02-11,352.43
76822,2020-02-12,350.89
76823,2020-02-13,353.46
76824,2020-02-14,353.79
76825,2020-02-17,355.29
76826,2020-02-18,357.23
76827,2020-02-19,361.11
76828,2020-02-20,362.29
76829,2020-02-21,369.78
76830,2020-02-24,376.9
76831,2020-02-25,369.53
76832,2020-02-26,371.76
76833,2020-02-27,371.3
76834,2020-02-28,365.36
76835,2020-03-02,359.04
76836,2020-03-03,358.64
76837,2020-03-04,365
76838,2020-03-05,366.49
76839,2020-03-06,372.4
76840,2020-03-09,373.46
76841,2020-03-10,367.01
76842,2020-03-11,370
76843,2020-03-12,366.49
76844,2020-03-13,356.02
76845,2020-03-16,345
76846,2020-03-17,331.07
76847,2020-03-18,338.39
76848,2020-03-19,336.15
76849,2020-03-20,340
76850,2020-03-23,339.2
76851,2020-03-24,356.71
76852,2020-03-25,362.98
76853,2020-03-26,362
76854,2020-03-27,365.45
76855,2020-03-30,363.99
76856,2020-03-31,364.27
76857,2020-04-01,360
76858,2020-04-02,360.53
76859,2020-04-03,362.5
76860,2020-04-07,371
76861,2020-04-08,370.12
76862,2020-04-09,370.3
76863,2020-04-10,372.1
76864,2020-04-13,371.95
76865,2020-04-14,377
76866,2020-04-15,374.01
76867,2020-04-16,378.3
76868,2020-04-17,369.92
76869,2020-04-20,370.29
76870,2020-04-21,374.64
76871,2020-04-22,373.5
76872,2020-04-23,378.8
76873,2020-04-24,381.14
76874,2020-04-27,380.45
76875,2020-04-28,377.04
76876,2020-04-29,378.1
76877,2020-04-30,380.94
76878,2020-05-06,380.3
76879,2020-05-07,379.88
76880,2020-05-08,383.5
76881,2020-05-11,381.26
76882,2020-05-12,380.99
76883,2020-05-13,381.1
76884,2020-05-14,383.49
76885,2020-05-15,388.81
76886,2020-05-18,398.21
76887,2020-05-19,392.39
76888,2020-05-20,396.73
76889,2020-05-21,391.99
76890,2020-05-22,392
76891,2020-05-25,391.33
76892,2020-05-26,393.16
76893,2020-05-27,390
76894,2020-05-28,392.41
76895,2020-05-29,391.93
76896,2020-06-01,395.99
76897,2020-06-02,394.8
76898,2020-06-03,391.2
76899,2020-06-04,387.86
76900,2020-06-05,387.84
76901,2020-06-08,384.22
76902,2020-06-09,384.61
76903,2020-06-10,388.89
76904,2020-06-11,391.9
76905,2020-06-12,391.13
76906,2020-06-15,388.53
76907,2020-06-16,389.59
76908,2020-06-17,390.5
76909,2020-06-18,389.89
76910,2020-06-19,390.67
76911,2020-06-22,393.82
76912,2020-06-23,394.5
76913,2020-06-24,397
76914,2020-06-29,397.15
76915,2020-06-30,397.76
76916,2020-07-01,400.82
76917,2020-07-02,396.04
76918,2020-07-03,397.55
76919,2020-07-06,396.97
76920,2020-07-07,397.46
76921,2020-07-08,399.39
76922,2020-07-09,401.99
76923,2020-07-10,399.79
76924,2020-07-13,401.18
76925,2020-07-14,400.33
76926,2020-07-15,400.39
76927,2020-07-16,399.79
76928,2020-07-17,397.44
76929,2020-07-20,398.69
76930,2020-07-21,401.66
76931,2020-07-22,410.44
76932,2020-07-23,412.65
76933,2020-07-24,417.95
76934,2020-07-27,426.85
76935,2020-07-28,425.2
76936,2020-07-29,427.07
76937,2020-07-30,422
76938,2020-07-31,428.97
76939,2020-08-03,427.68
76940,2020-08-04,428.09
76941,2020-08-05,439.59
76942,2020-08-06,442.99
76943,2020-08-07,445.99
76944,2020-08-10,441.9
