Scode,Coname,Date,Tpostnum,Pospostnum,Negpostnum,Neupostnum,Readnum,Commentnum
600766,园城黄金,2020-01-01,8,2,0,6,6611,5
600766,园城黄金,2020-01-02,34,9,5,20,13349,22
600766,园城黄金,2020-01-03,61,18,14,29,25098,34
600766,园城黄金,2020-01-04,11,7,2,2,9352,17
600766,园城黄金,2020-01-05,12,5,2,5,8131,12
600766,园城黄金,2020-01-06,156,41,32,83,54687,107
600766,园城黄金,2020-01-07,93,30,16,47,33326,55
600766,园城黄金,2020-01-08,259,77,48,134,81563,149
600766,园城黄金,2020-01-09,197,46,42,109,73172,110
600766,园城黄金,2020-01-10,102,15,33,54,35222,66
600766,园城黄金,2020-01-11,11,6,1,4,9724,15
600766,园城黄金,2020-01-12,1,1,0,0,1304,2
600766,园城黄金,2020-01-13,69,17,16,36,28159,36
600766,园城黄金,2020-01-14,64,23,16,25,30799,18
600766,园城黄金,2020-01-15,50,13,12,25,29539,41
600766,园城黄金,2020-01-16,63,6,28,29,31222,38
600766,园城黄金,2020-01-17,60,9,18,33,38553,26
600766,园城黄金,2020-01-18,3,1,0,2,3972,6
600766,园城黄金,2020-01-19,2,1,0,1,1846,3
600766,园城黄金,2020-01-20,41,13,9,19,36310,57
600766,园城黄金,2020-01-21,61,16,13,32,31177,24
600766,园城黄金,2020-01-22,79,14,19,46,41432,25
600766,园城黄金,2020-01-23,47,8,9,30,42740,20
600766,园城黄金,2020-01-24,7,4,1,2,15070,7
600766,园城黄金,2020-01-27,5,2,0,3,11772,4
600766,园城黄金,2020-01-28,1,0,1,0,1955,0
600766,园城黄金,2020-01-29,1,1,0,0,1891,0
600766,园城黄金,2020-01-30,3,1,1,1,6936,0
600766,园城黄金,2020-01-31,3,0,1,2,5326,4
600766,园城黄金,2020-02-01,4,1,0,3,4939,0
600766,园城黄金,2020-02-02,7,3,0,4,12621,2
600766,园城黄金,2020-02-03,99,18,31,50,50090,35
600766,园城黄金,2020-02-04,29,7,7,15,20108,28
600766,园城黄金,2020-02-05,68,16,19,33,35413,21
600766,园城黄金,2020-02-06,49,14,12,23,27574,19
600766,园城黄金,2020-02-07,69,15,21,33,46626,29
600766,园城黄金,2020-02-08,4,3,0,1,3863,6
600766,园城黄金,2020-02-09,3,2,0,1,2936,3
600766,园城黄金,2020-02-10,61,13,12,36,32914,34
600766,园城黄金,2020-02-11,65,20,13,32,35342,49
600766,园城黄金,2020-02-12,64,20,11,33,33858,39
600766,园城黄金,2020-02-13,69,21,9,39,37919,43
600766,园城黄金,2020-02-14,67,26,8,33,43716,43
600766,园城黄金,2020-02-15,6,5,0,1,7711,6
600766,园城黄金,2020-02-16,5,2,0,3,4831,1
600766,园城黄金,2020-02-17,38,15,7,16,25085,43
600766,园城黄金,2020-02-18,88,28,15,45,44400,76
600766,园城黄金,2020-02-19,107,39,19,49,55307,86
600766,园城黄金,2020-02-20,95,20,22,53,51452,81
600766,园城黄金,2020-02-21,97,27,16,54,55021,83
600766,园城黄金,2020-02-22,19,5,1,13,19202,25
600766,园城黄金,2020-02-23,20,6,1,13,16231,32
600766,园城黄金,2020-02-24,153,30,43,80,67658,118
600766,园城黄金,2020-02-25,145,38,30,77,64606,93
600766,园城黄金,2020-02-26,132,19,37,76,44211,70
600766,园城黄金,2020-02-27,67,15,10,42,26547,26
600766,园城黄金,2020-02-28,121,26,25,70,38365,20
600766,园城黄金,2020-02-29,18,3,2,13,10072,17
600766,园城黄金,2020-03-01,13,2,0,11,7766,12
600766,园城黄金,2020-03-02,41,12,5,24,18018,27
600766,园城黄金,2020-03-03,67,18,9,40,26264,47
600766,园城黄金,2020-03-04,87,27,11,49,35135,89
600766,园城黄金,2020-03-05,65,28,5,32,25092,73
600766,园城黄金,2020-03-06,122,24,24,74,42269,81
600766,园城黄金,2020-03-07,9,4,0,5,5127,1
600766,园城黄金,2020-03-08,5,3,1,1,2731,4
600766,园城黄金,2020-03-09,104,35,23,46,36927,92
600766,园城黄金,2020-03-10,116,35,15,66,87274,177
600766,园城黄金,2020-03-11,53,14,4,35,35241,61
600766,园城黄金,2020-03-12,57,8,15,34,44276,98
600766,园城黄金,2020-03-13,39,5,8,26,19617,41
600766,园城黄金,2020-03-14,13,3,3,7,7816,9
600766,园城黄金,2020-03-15,7,3,0,4,5479,9
