Scode,Coname,Date,Time,Weektime,Tradetm_dum,Tpostnum,Pospostnum,Negpostnum,Neupostnum,Readnum,Commentnum
000975,银泰黄金,2022-01-01,0:00-24:00,星期六,0,5,2,0,3,2201,2
002155,湖南黄金,2022-01-01,0:00-24:00,星期六,0,6,2,0,4,4066,30
600489,中金黄金,2022-01-01,0:00-24:00,星期六,0,11,2,1,8,15288,154
600547,山东黄金,2022-01-01,0:00-24:00,星期六,0,11,5,2,4,7691,40
600916,中国黄金,2022-01-01,0:00-24:00,星期六,0,6,2,0,4,2496,13
600988,赤峰黄金,2022-01-01,0:00-24:00,星期六,0,22,9,0,13,14121,60
601069,西部黄金,2022-01-01,0:00-24:00,星期六,0,6,5,0,1,2368,2
000975,银泰黄金,2022-01-02,0:00-24:00,星期日,0,3,1,0,2,1897,6
002155,湖南黄金,2022-01-02,0:00-24:00,星期日,0,10,2,2,6,6814,20
600489,中金黄金,2022-01-02,0:00-24:00,星期日,0,3,0,0,3,3059,8
600547,山东黄金,2022-01-02,0:00-24:00,星期日,0,2,2,0,0,795,0
600916,中国黄金,2022-01-02,0:00-24:00,星期日,0,2,0,0,2,703,0
600988,赤峰黄金,2022-01-02,0:00-24:00,星期日,0,9,4,1,4,4468,23
601069,西部黄金,2022-01-02,0:00-24:00,星期日,0,1,1,0,0,241,0
002155,湖南黄金,2022-01-03,0:00-9:00,星期一,0,1,0,1,0,374,0
600988,赤峰黄金,2022-01-03,0:00-9:00,星期一,0,1,1,0,0,485,3
000975,银泰黄金,2022-01-03,9:00-15:00,星期一,1,2,1,0,1,874,0
002155,湖南黄金,2022-01-03,9:00-15:00,星期一,1,5,2,0,3,2095,10
600489,中金黄金,2022-01-03,9:00-15:00,星期一,1,2,1,0,1,993,7
600547,山东黄金,2022-01-03,9:00-15:00,星期一,1,2,2,0,0,843,1
600916,中国黄金,2022-01-03,9:00-15:00,星期一,1,1,1,0,0,210,0
600988,赤峰黄金,2022-01-03,9:00-15:00,星期一,1,8,2,1,5,2303,2
601069,西部黄金,2022-01-03,9:00-15:00,星期一,1,1,1,0,0,359,0
000975,银泰黄金,2022-01-04,15:00-9:00,星期二,0,7,0,2,5,2853,9
002155,湖南黄金,2022-01-04,15:00-9:00,星期二,0,17,1,4,12,5318,28
600489,中金黄金,2022-01-04,15:00-9:00,星期二,0,7,1,0,6,2271,7
600547,山东黄金,2022-01-04,15:00-9:00,星期二,0,9,2,3,4,3176,15
600916,中国黄金,2022-01-04,15:00-9:00,星期二,0,4,0,0,4,1197,2
600988,赤峰黄金,2022-01-04,15:00-9:00,星期二,0,41,10,7,24,16999,93
601069,西部黄金,2022-01-04,15:00-9:00,星期二,0,2,1,0,1,578,0
000975,银泰黄金,2022-01-04,9:00-15:00,星期二,1,9,3,2,4,2679,14
002155,湖南黄金,2022-01-04,9:00-15:00,星期二,1,77,13,18,46,14502,89
600489,中金黄金,2022-01-04,9:00-15:00,星期二,1,26,4,6,16,7020,70
600547,山东黄金,2022-01-04,9:00-15:00,星期二,1,19,9,3,7,5743,34
600916,中国黄金,2022-01-04,9:00-15:00,星期二,1,16,5,3,8,3231,14
600988,赤峰黄金,2022-01-04,9:00-15:00,星期二,1,50,8,11,31,12080,60
601069,西部黄金,2022-01-04,9:00-15:00,星期二,1,9,2,1,6,2243,12
000975,银泰黄金,2022-01-05,15:00-9:00,星期三,0,10,5,1,4,3114,14
002155,湖南黄金,2022-01-05,15:00-9:00,星期三,0,23,6,4,13,9642,65
600489,中金黄金,2022-01-05,15:00-9:00,星期三,0,9,2,1,6,2413,14
600547,山东黄金,2022-01-05,15:00-9:00,星期三,0,13,5,2,6,6502,25
600916,中国黄金,2022-01-05,15:00-9:00,星期三,0,5,3,1,1,770,1
600988,赤峰黄金,2022-01-05,15:00-9:00,星期三,0,36,18,4,14,12324,43
