Name,Date,Time,Weektime,Tradetime_Dum,Tpostnum,Pospostnum,Negpostnum,Neupostnum,Readnum,Commentnum
黄金吧,2022/1/4,15:00-9:00,星期二,0,1,0,0,1,346,0
黄金概念吧,2022/1/4,9:00-15:00,星期二,1,1,0,0,1,233,0
黄金吧,2022/1/5,9:00-15:00,星期三,1,1,0,0,1,331,0
黄金吧,2022/1/7,15:00-9:00,星期五,0,1,0,0,1,322,0
黄金吧,2022/1/7,9:00-15:00,星期五,1,1,0,0,1,324,0
黄金概念吧,2022/1/12,15:00-9:00,星期三,0,2,0,1,1,725,0
黄金吧,2022/1/12,9:00-15:00,星期三,1,1,0,0,1,291,0
黄金吧,2022/1/14,9:00-15:00,星期五,1,1,0,0,1,357,1
黄金概念吧,2022/1/20,15:00-9:00,星期四,0,1,0,0,1,348,0
黄金吧,2022/1/28,15:00-9:00,星期五,0,1,0,0,1,283,0
黄金吧,2022/2/10,9:00-15:00,星期四,1,1,0,0,1,246,0
黄金概念吧,2022/2/13,0:00-24:00,星期日,0,1,0,0,1,244,0
黄金概念吧,2022/2/14,9:00-15:00,星期一,1,1,0,0,1,297,0
黄金概念吧,2022/2/15,15:00-9:00,星期二,0,1,0,0,1,199,0
黄金吧,2022/2/16,9:00-15:00,星期三,1,1,0,0,1,239,0
黄金概念吧,2022/2/17,15:00-9:00,星期四,0,1,0,0,1,86,0
黄金吧,2022/2/18,9:00-15:00,星期五,1,1,0,0,1,245,0
黄金吧,2022/2/21,9:00-15:00,星期一,1,1,0,0,1,339,0
黄金概念吧,2022/2/23,15:00-9:00,星期三,0,1,0,0,1,170,0
黄金概念吧,2022/2/25,15:00-9:00,星期五,0,2,0,0,2,572,0
黄金概念吧,2022/2/27,0:00-24:00,星期日,0,3,0,0,3,512,0
黄金概念吧,2022/2/28,9:00-15:00,星期一,1,1,0,0,1,316,0
黄金概念吧,2022/3/2,9:00-15:00,星期三,1,2,0,0,2,219,0
黄金吧,2022/3/2,9:00-15:00,星期三,1,1,0,0,1,275,0
黄金概念吧,2022/3/3,15:00-9:00,星期四,0,1,0,0,1,318,0
黄金概念吧,2022/3/3,9:00-15:00,星期四,1,1,0,0,1,90,0
黄金概念吧,2022/3/5,0:00-24:00,星期六,0,1,0,0,1,150,0
黄金概念吧,2022/3/7,9:00-15:00,星期一,1,4,0,0,4,576,0
黄金概念吧,2022/3/8,15:00-9:00,星期二,0,1,0,0,1,125,0
黄金概念吧,2022/3/8,9:00-15:00,星期二,1,1,0,0,1,115,0
黄金概念吧,2022/3/9,9:00-15:00,星期三,1,3,0,0,3,350,0
黄金吧,2022/3/10,9:00-15:00,星期四,1,1,0,0,1,112,1
黄金概念吧,2022/3/11,9:00-15:00,星期五,1,1,0,0,1,292,1
黄金吧,2022/3/11,9:00-15:00,星期五,1,1,0,0,1,223,0
黄金概念吧,2022/3/15,15:00-9:00,星期二,0,1,0,0,1,65,0
黄金概念吧,2022/3/15,9:00-15:00,星期二,1,1,0,0,1,153,0
黄金吧,2022/3/16,9:00-15:00,星期三,1,1,0,0,1,49,0
黄金吧,2022/3/17,9:00-15:00,星期四,1,1,0,0,1,50,0
黄金吧,2022/3/18,9:00-15:00,星期五,1,1,0,0,1,252,0
黄金吧,2022/3/25,9:00-15:00,星期五,1,1,0,0,1,294,0
黄金吧,2022/3/29,15:00-9:00,星期二,0,1,0,0,1,170,0
黄金吧,2022/3/29,9:00-15:00,星期二,1,1,0,0,1,195,0
黄金吧,2022/3/30,15:00-9:00,星期三,0,1,0,0,1,225,0
黄金吧,2022/3/31,15:00-9:00,星期四,0,1,0,0,1,41,0
黄金吧,2022/3/31,9:00-15:00,星期四,1,1,0,0,1,265,0
黄金吧,2022/4/1,9:00-15:00,星期五,1,1,0,0,1,530,0
黄金吧,2022/4/1,15:00-24:00,星期五,0,1,0,0,1,156,0
黄金吧,2022/4/3,0:00-24:00,星期日,0,1,0,0,1,87,0
黄金吧,2022/4/6,15:00-9:00,星期三,0,2,0,0,2,304,0
黄金吧,2022/4/7,15:00-9:00,星期四,0,1,0,0,1,252,0
黄金吧,2022/4/7,9:00-15:00,星期四,1,3,0,0,3,831,0
黄金吧,2022/4/8,15:00-9:00,星期五,0,2,0,0,2,464,0
黄金吧,2022/4/8,9:00-15:00,星期五,1,1,0,0,1,284,0
黄金吧,2022/4/9,0:00-24:00,星期六,0,1,0,0,1,141,0
黄金概念吧,2022/4/11,9:00-15:00,星期一,1,1,0,0,1,153,0
黄金概念吧,2022/4/12,9:00-15:00,星期二,1,1,0,0,1,145,0
黄金概念吧,2022/4/13,9:00-15:00,星期三,1,2,0,0,2,277,0
黄金吧,2022/4/14,15:00-9:00,星期四,0,1,0,1,0,367,0
黄金概念吧,2022/4/14,9:00-15:00,星期四,1,1,0,0,1,287,0
黄金概念吧,2022/4/21,9:00-15:00,星期四,1,1,0,0,1,127,0
黄金概念吧,2022/4/22,15:00-9:00,星期五,0,1,0,0,1,150,0
黄金概念吧,2022/4/22,9:00-15:00,星期五,1,1,0,0,1,226,0
黄金吧,2022/4/28,9:00-15:00,星期四,1,5,0,0,5,278,0
黄金吧,2022/4/29,15:00-9:00,星期五,0,6,0,0,6,358,0
黄金吧,2022/4/29,15:00-24:00,星期五,0,6,0,0,6,310,0
黄金吧,2022/4/30,0:00-24:00,星期六,0,2,0,0,2,178,0
黄金吧,2022/5/1,0:00-24:00,星期日,0,2,0,0,2,166,0
黄金吧,2022/5/2,9:00-15:00,星期一,1,4,0,0,4,379,0
黄金吧,2022/5/3,15:00-9:00,星期二,0,5,0,0,5,511,0
黄金吧,2022/5/3,9:00-15:00,星期二,1,3,0,0,3,203,0
黄金吧,2022/5/4,15:00-9:00,星期三,0,4,0,0,4,349,0
黄金吧,2022/5/4,9:00-15:00,星期三,1,7,0,0,7,523,0
黄金吧,2022/5/5,15:00-9:00,星期四,0,7,0,0,7,416,0
黄金吧,2022/5/5,9:00-15:00,星期四,1,7,0,0,7,339,0
黄金吧,2022/5/6,15:00-9:00,星期五,0,6,0,0,6,284,0
黄金概念吧,2022/5/6,9:00-15:00,星期五,1,1,0,0,1,130,0
黄金吧,2022/5/6,15:00-24:00,星期五,0,4,0,0,4,186,0
黄金吧,2022/5/7,0:00-24:00,星期六,0,1,0,0,1,45,0
黄金吧,2022/5/8,0:00-24:00,星期日,0,2,0,0,2,115,0
黄金吧,2022/5/10,15:00-9:00,星期二,0,4,0,0,4,272,0
黄金概念吧,2022/5/10,9:00-15:00,星期二,1,1,0,0,1,122,0
黄金吧,2022/5/10,9:00-15:00,星期二,1,2,0,0,2,134,0
黄金吧,2022/5/11,15:00-9:00,星期三,0,4,0,0,4,252,0
黄金吧,2022/5/11,9:00-15:00,星期三,1,2,0,0,2,127,0
黄金吧,2022/5/12,15:00-9:00,星期四,0,1,0,0,1,45,0
黄金吧,2022/5/12,9:00-15:00,星期四,1,4,0,0,4,374,0
黄金吧,2022/5/13,15:00-9:00,星期五,0,2,0,0,2,139,0
黄金吧,2022/5/13,9:00-15:00,星期五,1,3,0,0,3,206,0
黄金吧,2022/5/13,15:00-24:00,星期五,0,2,0,0,2,217,0
黄金吧,2022/5/14,0:00-24:00,星期六,0,2,0,0,2,210,0
黄金吧,2022/5/16,9:00-15:00,星期一,1,4,0,0,4,579,1
黄金吧,2022/5/17,15:00-9:00,星期二,0,1,0,0,1,76,0
黄金吧,2022/5/17,9:00-15:00,星期二,1,3,0,0,3,194,0
黄金吧,2022/5/18,15:00-9:00,星期三,0,2,0,0,2,94,0
黄金吧,2022/5/18,9:00-15:00,星期三,1,3,0,0,3,163,0
黄金吧,2022/5/19,15:00-9:00,星期四,0,2,0,0,2,83,0
黄金吧,2022/5/19,9:00-15:00,星期四,1,2,0,0,2,81,0
黄金吧,2022/5/20,15:00-9:00,星期五,0,2,0,0,2,88,0
黄金概念吧,2022/5/20,9:00-15:00,星期五,1,1,0,0,1,65,0
黄金吧,2022/5/20,9:00-15:00,星期五,1,2,0,0,2,80,0
黄金吧,2022/5/23,9:00-15:00,星期一,1,1,0,0,1,40,0
黄金概念吧,2022/5/24,9:00-15:00,星期二,1,1,0,0,1,77,0
黄金吧,2022/5/24,9:00-15:00,星期二,1,1,0,0,1,40,0
黄金吧,2022/5/25,9:00-15:00,星期三,1,1,0,0,1,33,0
黄金吧,2022/5/26,9:00-15:00,星期四,1,1,0,0,1,42,0
黄金吧,2022/5/27,9:00-15:00,星期五,1,1,0,0,1,28,0
黄金吧,2022/5/31,15:00-9:00,星期二,0,2,0,0,2,84,0
黄金吧,2022/5/31,9:00-15:00,星期二,1,1,0,0,1,37,0
黄金吧,2022/6/1,15:00-9:00,星期三,0,3,0,0,3,75,0
黄金吧,2022/6/1,9:00-15:00,星期三,1,3,0,0,3,94,0
黄金吧,2022/6/2,15:00-9:00,星期四,0,2,0,0,2,44,0
黄金吧,2022/6/2,9:00-15:00,星期四,1,2,0,0,2,71,0
黄金吧,2022/6/3,15:00-9:00,星期五,0,7,0,0,7,238,0
黄金吧,2022/6/4,0:00-24:00,星期六,0,1,0,0,1,62,0
黄金吧,2022/6/6,9:00-15:00,星期一,1,2,0,0,2,70,0
黄金吧,2022/6/7,15:00-9:00,星期二,0,2,0,0,2,44,0
黄金吧,2022/6/7,9:00-15:00,星期二,1,1,0,0,1,34,0
黄金吧,2022/6/8,9:00-15:00,星期三,1,1,0,0,1,28,0
黄金吧,2022/6/9,9:00-15:00,星期四,1,1,0,0,1,38,0
黄金吧,2022/6/10,15:00-9:00,星期五,0,1,0,0,1,32,0
