Name,Date,Time,Weektime,Tradetime_Dum,Tpostnum,Pospostnum,Negpostnum,Neupostnum,Readnum,Commentnum
黄金吧,2020/1/1,15:00-9:00,星期三,0,165,41,29,95,65198,203
黄金吧,2020/1/1,9:00-15:00,星期三,1,11,1,3,7,6010,22
黄金吧,2020/1/2,15:00-9:00,星期四,0,33,6,4,23,17623,41
黄金吧,2020/1/2,9:00-15:00,星期四,1,49,17,6,26,10898,56
黄金吧,2020/1/3,15:00-9:00,星期五,0,341,123,55,163,106554,373
黄金吧,2020/1/3,9:00-15:00,星期五,1,119,36,28,55,23188,84
黄金吧,2020/1/3,15:00-24:00,星期五,0,391,115,63,213,109154,449
黄金吧,2020/1/4,0:00-24:00,星期六,0,98,30,16,52,97698,231
黄金吧,2020/1/5,0:00-24:00,星期日,0,43,16,5,22,31920,81
黄金吧,2020/1/6,0:00-9:00,星期一,0,183,52,34,97,79191,216
黄金吧,2020/1/6,9:00-15:00,星期一,1,120,37,16,67,30635,135
黄金吧,2020/1/7,15:00-9:00,星期二,0,485,115,87,283,204935,561
黄金吧,2020/1/7,9:00-15:00,星期二,1,124,40,14,70,36361,146
黄金吧,2020/1/8,15:00-9:00,星期三,0,699,213,114,372,192808,638
黄金吧,2020/1/8,9:00-15:00,星期三,1,224,63,40,121,51961,201
黄金吧,2020/1/9,15:00-9:00,星期四,0,1080,242,225,613,307437,1084
黄金吧,2020/1/9,9:00-15:00,星期四,1,135,35,29,71,40478,139
黄金吧,2020/1/10,15:00-9:00,星期五,0,470,120,79,271,171639,570
黄金吧,2020/1/10,9:00-15:00,星期五,1,97,28,18,51,27844,82
黄金吧,2020/1/10,15:00-24:00,星期五,0,442,111,94,237,128395,422
黄金吧,2020/1/11,0:00-24:00,星期六,0,75,23,13,39,78675,195
黄金吧,2020/1/12,0:00-24:00,星期日,0,30,13,2,15,28192,79
黄金吧,2020/1/13,0:00-9:00,星期一,0,67,19,9,39,41472,143
黄金吧,2020/1/13,9:00-15:00,星期一,1,94,25,23,46,27276,89
黄金吧,2020/1/14,15:00-9:00,星期二,0,295,72,51,172,98316,334
黄金吧,2020/1/14,9:00-15:00,星期二,1,101,22,25,54,26358,70
黄金吧,2020/1/15,15:00-9:00,星期三,0,252,73,32,147,104587,324
黄金吧,2020/1/15,9:00-15:00,星期三,1,82,19,16,47,25677,94
黄金吧,2020/1/16,15:00-9:00,星期四,0,298,76,64,158,124152,260
黄金吧,2020/1/16,9:00-15:00,星期四,1,73,19,17,37,21341,171
黄金吧,2020/1/17,15:00-9:00,星期五,0,217,57,39,121,86412,290
黄金吧,2020/1/17,9:00-15:00,星期五,1,79,15,15,49,19649,57
黄金吧,2020/1/17,15:00-24:00,星期五,0,184,53,19,112,57444,182
黄金吧,2020/1/18,0:00-24:00,星期六,0,28,11,4,13,26180,32
黄金吧,2020/1/19,0:00-24:00,星期日,0,17,2,3,12,17336,29
黄金吧,2020/1/20,0:00-9:00,星期一,0,23,6,4,13,16401,21
黄金吧,2020/1/20,9:00-15:00,星期一,1,46,16,3,27,12703,41
黄金吧,2020/1/21,15:00-9:00,星期二,0,98,20,18,60,40754,110
黄金吧,2020/1/21,9:00-15:00,星期二,1,61,27,9,25,20146,91
黄金吧,2020/1/22,15:00-9:00,星期三,0,316,57,69,190,112401,263
黄金吧,2020/1/22,9:00-15:00,星期三,1,53,7,10,36,13416,46
黄金吧,2020/1/23,15:00-9:00,星期四,0,150,42,24,84,48930,124
黄金吧,2020/1/23,9:00-15:00,星期四,1,38,6,2,30,8778,35
黄金吧,2020/1/24,15:00-9:00,星期五,0,120,37,17,66,60747,156
黄金吧,2020/1/24,9:00-15:00,星期五,1,15,3,1,11,11724,36
黄金吧,2020/1/24,15:00-24:00,星期五,0,75,27,10,38,68254,95
黄金吧,2020/1/25,0:00-24:00,星期六,0,39,15,5,19,51500,70
黄金吧,2020/1/26,0:00-24:00,星期日,0,24,9,1,14,31554,55
黄金吧,2020/1/27,0:00-9:00,星期一,0,28,9,4,15,43351,60
黄金吧,2020/1/27,9:00-15:00,星期一,1,77,21,10,46,65872,209
黄金吧,2020/1/28,15:00-9:00,星期二,0,136,48,13,75,175647,236
黄金吧,2020/1/28,9:00-15:00,星期二,1,47,13,2,32,35711,53
黄金吧,2020/1/29,15:00-9:00,星期三,0,144,37,24,83,156079,235
黄金吧,2020/1/29,9:00-15:00,星期三,1,47,7,3,37,48672,187
黄金吧,2020/1/30,15:00-9:00,星期四,0,131,40,23,68,186446,226
黄金吧,2020/1/30,9:00-15:00,星期四,1,56,10,5,41,53483,112
黄金吧,2020/1/31,15:00-9:00,星期五,0,200,57,31,112,199521,283
黄金吧,2020/1/31,9:00-15:00,星期五,1,71,19,8,44,49421,147
黄金吧,2020/1/31,15:00-24:00,星期五,0,137,39,19,79,105597,180
黄金吧,2020/2/1,0:00-24:00,星期六,0,59,23,4,32,66157,87
黄金吧,2020/2/2,0:00-24:00,星期日,0,23,4,4,15,32974,29
黄金吧,2020/2/3,0:00-9:00,星期一,0,49,11,5,33,34901,107
黄金吧,2020/2/3,9:00-15:00,星期一,1,87,21,12,54,19820,83
黄金吧,2020/2/4,15:00-9:00,星期二,0,147,38,22,87,57812,147
黄金吧,2020/2/4,9:00-15:00,星期二,1,34,6,5,23,10314,34
黄金吧,2020/2/5,15:00-9:00,星期三,0,222,41,46,135,86534,256
黄金吧,2020/2/5,9:00-15:00,星期三,1,35,8,0,27,13536,42
黄金吧,2020/2/6,15:00-9:00,星期四,0,198,40,32,126,71959,224
黄金吧,2020/2/6,9:00-15:00,星期四,1,43,10,5,28,13266,68
黄金吧,2020/2/7,15:00-9:00,星期五,0,191,60,19,112,66456,229
黄金吧,2020/2/7,9:00-15:00,星期五,1,41,16,2,23,12262,43
黄金吧,2020/2/7,15:00-24:00,星期五,0,243,48,50,145,87126,327
黄金吧,2020/2/8,0:00-24:00,星期六,0,27,10,2,15,25553,73
黄金吧,2020/2/9,0:00-24:00,星期日,0,12,7,1,4,10062,56
黄金吧,2020/2/10,0:00-9:00,星期一,0,37,13,1,23,14800,44
