Scode,Coname,Date,Time,Weektime,Tradetm_dum,Tpostnum,Pospostnum,Negpostnum,Neupostnum,Readnum,Commentnum
975,银泰黄金,2020/1/1,15:00-9:00,星期三,0,15,6,3,6,9189,14
975,银泰黄金,2020/1/2,9:00-15:00,星期四,1,97,28,15,54,28098,74
975,银泰黄金,2020/1/2,15:00-9:00,星期四,0,12,3,0,9,8565,27
975,银泰黄金,2020/1/3,15:00-9:00,星期五,0,20,8,2,10,12179,47
975,银泰黄金,2020/1/3,9:00-15:00,星期五,1,145,42,29,74,42686,138
975,银泰黄金,2020/1/3,15:00-24:00,星期五,0,30,6,7,17,17021,35
975,银泰黄金,2020/1/4,0:00-24:00,星期六,0,21,4,2,15,21143,38
975,银泰黄金,2020/1/5,0:00-24:00,星期日,0,15,3,0,12,16853,19
975,银泰黄金,2020/1/6,0:00-9:00,星期一,0,17,7,1,9,9731,7
975,银泰黄金,2020/1/6,9:00-15:00,星期一,1,126,36,31,59,36244,52
975,银泰黄金,2020/1/7,9:00-15:00,星期二,1,79,22,17,40,27041,41
975,银泰黄金,2020/1/7,15:00-9:00,星期二,0,50,15,6,29,31430,52
975,银泰黄金,2020/1/8,15:00-9:00,星期三,0,52,11,4,37,28391,49
975,银泰黄金,2020/1/8,9:00-15:00,星期三,1,250,52,63,135,60533,145
975,银泰黄金,2020/1/9,15:00-9:00,星期四,0,60,14,12,34,33869,62
975,银泰黄金,2020/1/9,9:00-15:00,星期四,1,135,20,33,82,45210,89
975,银泰黄金,2020/1/10,9:00-15:00,星期五,1,65,17,15,33,27620,56
975,银泰黄金,2020/1/10,15:00-9:00,星期五,0,38,9,10,19,43331,80
975,银泰黄金,2020/1/10,15:00-24:00,星期五,0,11,4,0,7,7205,15
975,银泰黄金,2020/1/11,0:00-24:00,星期六,0,14,6,1,7,21061,25
975,银泰黄金,2020/1/12,0:00-24:00,星期日,0,3,0,0,3,6236,18
975,银泰黄金,2020/1/13,0:00-9:00,星期一,0,2,0,0,2,1856,6
975,银泰黄金,2020/1/13,9:00-15:00,星期一,1,40,9,13,18,16529,47
975,银泰黄金,2020/1/14,9:00-15:00,星期二,1,61,12,14,35,47288,75
975,银泰黄金,2020/1/14,15:00-9:00,星期二,0,23,5,3,15,13355,23
975,银泰黄金,2020/1/15,15:00-9:00,星期三,0,21,6,5,10,15701,38
975,银泰黄金,2020/1/15,9:00-15:00,星期三,1,75,19,21,35,37483,85
975,银泰黄金,2020/1/16,15:00-9:00,星期四,0,12,3,4,5,8753,17
975,银泰黄金,2020/1/16,9:00-15:00,星期四,1,84,11,24,49,34326,81
975,银泰黄金,2020/1/17,9:00-15:00,星期五,1,133,22,43,68,46560,89
975,银泰黄金,2020/1/17,15:00-24:00,星期五,0,31,8,5,18,30958,56
975,银泰黄金,2020/1/17,15:00-9:00,星期五,0,37,7,8,22,37146,50
975,银泰黄金,2020/1/18,0:00-24:00,星期六,0,9,2,2,5,18540,62
975,银泰黄金,2020/1/19,0:00-24:00,星期日,0,1,1,0,0,886,1
975,银泰黄金,2020/1/20,9:00-15:00,星期一,1,111,24,32,55,44307,171
975,银泰黄金,2020/1/20,0:00-9:00,星期一,0,5,1,0,4,6490,12
975,银泰黄金,2020/1/21,15:00-9:00,星期二,0,24,7,3,14,18230,39
975,银泰黄金,2020/1/21,9:00-15:00,星期二,1,78,25,18,35,31556,65
975,银泰黄金,2020/1/22,15:00-9:00,星期三,0,29,4,7,18,21620,44
975,银泰黄金,2020/1/22,9:00-15:00,星期三,1,72,15,18,39,44794,88
975,银泰黄金,2020/1/23,15:00-9:00,星期四,0,21,6,2,13,15700,35
975,银泰黄金,2020/1/23,9:00-15:00,星期四,1,65,14,15,36,31653,81
975,银泰黄金,2020/1/24,9:00-15:00,星期五,1,4,0,0,4,9178,5
975,银泰黄金,2020/1/24,15:00-9:00,星期五,0,16,2,4,10,22473,16
975,银泰黄金,2020/1/25,0:00-24:00,星期六,0,4,2,0,2,10927,7
975,银泰黄金,2020/1/26,0:00-24:00,星期日,0,5,1,0,4,10586,2
975,银泰黄金,2020/1/27,9:00-15:00,星期一,1,3,0,0,3,5802,5
975,银泰黄金,2020/1/27,0:00-9:00,星期一,0,1,0,0,1,120,0
975,银泰黄金,2020/1/28,9:00-15:00,星期二,1,1,1,0,0,2070,2
975,银泰黄金,2020/1/28,15:00-9:00,星期二,0,4,1,1,2,8435,6
975,银泰黄金,2020/1/29,9:00-15:00,星期三,1,1,0,0,1,2278,0
975,银泰黄金,2020/1/30,15:00-9:00,星期四,0,1,0,0,1,1897,3
975,银泰黄金,2020/1/30,9:00-15:00,星期四,1,11,5,3,3,18916,12
975,银泰黄金,2020/1/31,15:00-9:00,星期五,0,2,1,1,0,4576,6
975,银泰黄金,2020/1/31,15:00-24:00,星期五,0,3,1,1,1,4768,2
975,银泰黄金,2020/1/31,9:00-15:00,星期五,1,3,0,1,2,4160,3
975,银泰黄金,2020/2/1,0:00-24:00,星期六,0,5,2,2,1,11590,13
975,银泰黄金,2020/2/2,0:00-24:00,星期日,0,13,2,2,9,18125,53
975,银泰黄金,2020/2/3,0:00-9:00,星期一,0,3,0,1,2,2890,1
975,银泰黄金,2020/2/3,9:00-15:00,星期一,1,77,13,24,40,31998,38
975,银泰黄金,2020/2/4,9:00-15:00,星期二,1,35,8,10,17,15302,28
975,银泰黄金,2020/2/4,15:00-9:00,星期二,0,16,2,0,14,16904,44
975,银泰黄金,2020/2/5,15:00-9:00,星期三,0,35,8,4,23,22923,49
